customer_id,signup_date,age,province,segment,acquisition_channel,plan_type,contract_type,price_per_month,status,churn_date,login_count_mean,login_count_std,login_count_last,active_days_mean,active_days_std,total_usage_hours_mean,total_usage_hours_std,total_usage_hours_last,num_features_used_mean,heavy_feature_usage_mean,num_sessions_mobile_mean,num_sessions_web_mean,days_late_mean,days_late_max,failed_payment_sum,amount_paid_mean,ticket_count,avg_satisfaction_score,avg_resolution_time_hours,cancelled,no_usage_2mo,failed_payments_3mo,churn
1,2022-09-20,56,BC,Individual,Paid Ads,Basic,Annual,20,Active,,26.75,9.358790334318808,42,9.958333333333334,4.005204946899305,19.55911880263457,8.622463211550846,23.934985699535883,3.4166666666666665,0.28316928395880925,6.958333333333333,15.583333333333334,1.9583333333333333,8,2,18.333333333333332,1.0,3.0,0.5205780286118122,0,0,0,0
2,2020-06-21,69,QC,Individual,Referral,Premium,Annual,70,Active,,27.708333333333332,9.919147783636614,38,8.083333333333334,3.7753970901622775,19.286917140109217,5.4020762868154755,23.690143547274847,4.333333333333333,0.21647668378116178,6.708333333333333,14.041666666666666,1.0,6,0,70.0,,,,0,0,0,0
3,2020-02-08,46,BC,Enterprise,Organic,Premium,Monthly,70,Active,,27.791666666666668,9.908183559526709,44,10.583333333333334,4.577037837108061,20.537678253139337,7.8017385005423465,16.26446179396944,3.3333333333333335,0.24109534460246693,7.958333333333333,14.25,2.0833333333333335,10,0,70.0,2.0,3.0,37.706580190777004,0,0,0,0
4,2021-03-03,32,NS,Individual,Organic,Premium,Monthly,70,Active,,28.125,10.75139020333407,17,9.625,4.115849534580236,20.74553126543242,8.517663321970986,7.61701231181531,3.5,0.24463616294336685,7.291666666666667,13.541666666666666,2.2916666666666665,8,0,70.0,,,,0,0,0,0
5,2021-01-15,60,BC,Individual,Referral,Premium,Annual,70,Active,,29.416666666666668,9.394339954909329,11,8.791666666666666,4.671645894363018,19.89230359427473,8.575433532950484,21.10548838214892,3.5,0.34338612656966244,8.208333333333334,14.125,2.1666666666666665,7,2,64.16666666666667,2.0,2.5,31.927509854842544,0,0,0,0
6,2020-12-12,25,ON,Enterprise,Referral,Standard,Annual,40,Active,,31.458333333333332,10.798466745699178,24,8.916666666666666,2.701314763087664,20.841513892154968,8.286851247182513,20.719040890007783,3.5,0.33474900664947277,7.5,16.5,2.0833333333333335,9,0,40.0,,,,0,0,0,0
7,2020-08-04,38,NS,Individual,Sales Team,Standard,Monthly,40,Active,,30.708333333333332,8.243464693011521,32,9.75,4.265636198026391,16.493263727732423,7.738030572625485,30.954631217601687,2.875,0.2596116414453632,8.375,13.458333333333334,1.4583333333333333,6,1,38.333333333333336,,,,0,0,0,0
8,2020-06-08,56,MB,Individual,Referral,Premium,Monthly,70,Active,,28.833333333333332,9.420914137619862,41,9.708333333333334,3.5444894973890735,20.405271618436423,6.5144481880416585,23.45834675295765,3.4583333333333335,0.24727572240976015,7.416666666666667,15.75,2.1666666666666665,9,0,70.0,,,,0,0,0,0
9,2022-11-17,36,NS,Small Business,Paid Ads,Standard,Monthly,40,Active,,28.0,9.965156688486486,37,8.041666666666666,4.143923436705288,20.89157410667487,9.608484964944989,25.12330054800081,3.75,0.28654152236601066,7.0,14.875,2.25,5,1,38.333333333333336,2.0,2.5,16.87922871417154,0,0,0,0
10,2022-04-27,40,AB,Individual,Paid Ads,Premium,Annual,70,Active,,30.041666666666668,11.307862469237428,32,10.791666666666666,4.343702754930223,19.44658715038702,9.166894726006234,10.462822915637297,3.4166666666666665,0.3156972611100383,7.833333333333333,14.375,2.0,9,0,70.0,,,,0,0,0,0
11,2020-05-15,28,BC,Individual,Sales Team,Premium,Monthly,70,Active,,29.166666666666668,9.23446600074095,20,9.291666666666666,4.227026569964803,19.763764763003596,7.525142624685044,19.069112249899348,3.5,0.34417068948220225,8.416666666666666,15.916666666666666,1.5416666666666667,6,0,70.0,,,,0,0,0,0
12,2022-07-06,28,BC,Small Business,Paid Ads,Standard,Annual,40,Active,,27.708333333333332,9.543853777564713,16,7.75,3.492227394359228,25.391141847592554,6.365439455255828,25.04742011474341,3.4583333333333335,0.2806582004995045,6.875,13.625,2.0833333333333335,9,4,33.333333333333336,1.0,1.0,18.315706823257425,0,0,1,1
13,2021-10-17,41,MB,Individual,Sales Team,Basic,Monthly,20,Active,,31.208333333333332,9.59610050632736,39,9.583333333333334,4.451835641587652,16.87076369251709,6.0206449305758065,12.29228215756248,3.9166666666666665,0.3259758536902075,7.541666666666667,14.708333333333334,1.875,6,1,19.166666666666668,1.0,3.0,14.076771469754163,0,0,0,0
14,2020-02-19,70,BC,Small Business,Organic,Premium,Annual,70,Active,,29.458333333333332,9.908183559526709,14,8.791666666666666,3.270143816364985,18.495595305240077,7.729401957154888,19.595007207819283,4.041666666666667,0.24052418891997407,7.5,14.875,2.4583333333333335,8,2,64.16666666666667,1.0,3.0,8.12060567365864,0,0,0,0
15,2020-02-16,53,MB,Enterprise,Paid Ads,Basic,Annual,20,Active,,27.125,9.935936095152611,30,10.75,5.049752469181038,19.000943688114685,6.827180557059496,23.87244601875949,3.4583333333333335,0.2937351423076923,7.916666666666667,13.958333333333334,2.5416666666666665,8,3,17.5,3.0,3.3333333333333335,11.679945648231346,0,0,0,0
16,2020-05-25,57,QC,Enterprise,Organic,Premium,Monthly,70,Active,,29.75,9.957518461596921,19,8.166666666666666,4.050407029108221,19.748746699933534,7.271117172932031,17.413849804861837,3.5833333333333335,0.25312246299923147,7.458333333333333,14.833333333333334,2.3333333333333335,8,2,64.16666666666667,1.0,2.0,66.42163602988774,0,0,0,0
17,2020-12-05,41,ON,Enterprise,Referral,Standard,Annual,40,Active,,30.208333333333332,10.168062389345534,34,10.625,3.0618621784789726,16.5530949924623,8.59505218281469,20.010674602227432,3.7083333333333335,0.2977447479294654,7.541666666666667,13.916666666666666,2.25,6,2,36.666666666666664,1.0,1.0,3.35711643211431,0,0,0,0
18,2020-12-27,20,MB,Individual,Referral,Basic,Monthly,20,Active,,30.458333333333332,11.725035150282592,28,9.083333333333334,3.5620788589111063,20.51707813577086,7.698978566421051,13.397163458563908,4.0,0.2544495407622899,8.0,15.0,2.0833333333333335,7,1,19.166666666666668,3.0,3.0,22.879262571627645,0,0,0,0
19,2022-02-24,39,BC,Small Business,Paid Ads,Premium,Monthly,70,Active,,31.208333333333332,10.454785326915328,44,9.083333333333334,4.519683200389609,18.90369986082571,8.892262265524426,27.8818269829843,3.4166666666666665,0.2949261069756113,7.541666666666667,15.166666666666666,1.9166666666666667,8,1,67.08333333333333,1.0,2.0,17.981567995194933,0,0,0,0
20,2022-07-24,70,NB,Enterprise,Paid Ads,Basic,Monthly,20,Active,,25.416666666666668,12.335585379975557,14,8.5,4.462403329850504,20.06480663044732,6.36004968380319,24.772421680571014,3.625,0.28639091857122617,6.666666666666667,14.875,1.75,6,3,17.5,,,,0,0,0,0
