customer_id,signup_date,age,province,segment,acquisition_channel
1,2022-09-20,56,BC,Individual,Paid Ads
2,2020-06-21,69,QC,Individual,Referral
3,2020-02-08,46,BC,Enterprise,Organic
4,2021-03-03,32,NS,Individual,Organic
5,2021-01-15,60,BC,Individual,Referral
6,2020-12-12,25,ON,Enterprise,Referral
7,2020-08-04,38,NS,Individual,Sales Team
8,2020-06-08,56,MB,Individual,Referral
9,2022-11-17,36,NS,Small Business,Paid Ads
10,2022-04-27,40,AB,Individual,Paid Ads
11,2020-05-15,28,BC,Individual,Sales Team
12,2022-07-06,28,BC,Small Business,Paid Ads
13,2021-10-17,41,MB,Individual,Sales Team
14,2020-02-19,70,BC,Small Business,Organic
15,2020-02-16,53,MB,Enterprise,Paid Ads
16,2020-05-25,57,QC,Enterprise,Organic
17,2020-12-05,41,ON,Enterprise,Referral
18,2020-12-27,20,MB,Individual,Referral
19,2022-02-24,39,BC,Small Business,Paid Ads
20,2022-07-24,70,NB,Enterprise,Paid Ads
21,2020-02-11,19,AB,Small Business,Paid Ads
22,2022-05-21,41,QC,Enterprise,Paid Ads
23,2020-11-04,61,BC,Enterprise,Referral
24,2022-10-06,47,QC,Individual,Sales Team
25,2022-12-25,55,NS,Small Business,Referral
26,2022-04-26,19,SK,Individual,Referral
27,2021-10-13,38,ON,Small Business,Sales Team
28,2020-12-08,50,MB,Individual,Referral
29,2021-11-28,29,SK,Individual,Sales Team
30,2022-07-04,39,NS,Enterprise,Sales Team
31,2021-03-08,61,AB,Small Business,Referral
32,2020-01-11,42,QC,Enterprise,Paid Ads
33,2020-09-05,66,NS,Enterprise,Sales Team
34,2022-12-20,44,SK,Individual,Referral
35,2021-10-18,59,NB,Individual,Organic
36,2021-06-12,45,BC,Individual,Referral
37,2021-03-07,33,NS,Enterprise,Organic
38,2020-08-29,32,NS,Small Business,Sales Team
39,2020-11-30,64,MB,Enterprise,Organic
40,2021-06-06,68,BC,Enterprise,Paid Ads
41,2020-06-07,61,SK,Individual,Paid Ads
42,2020-05-24,72,NS,Individual,Sales Team
43,2021-08-13,69,ON,Enterprise,Paid Ads
44,2020-05-30,74,AB,Enterprise,Organic
45,2021-07-11,20,MB,Enterprise,Referral
46,2021-06-18,54,AB,Small Business,Referral
47,2022-07-26,68,ON,Enterprise,Paid Ads
48,2021-02-14,24,NB,Individual,Organic
49,2020-03-08,38,SK,Small Business,Referral
50,2021-12-14,26,ON,Individual,Organic
51,2022-04-13,56,BC,Enterprise,Sales Team
52,2020-07-12,35,BC,Enterprise,Referral
53,2021-08-11,21,AB,Enterprise,Sales Team
54,2020-05-02,42,AB,Small Business,Sales Team
55,2022-05-07,31,QC,Enterprise,Referral
56,2021-03-31,67,MB,Small Business,Paid Ads
57,2022-09-03,26,NB,Enterprise,Sales Team
58,2022-08-18,43,BC,Individual,Referral
59,2021-07-15,70,BC,Small Business,Organic
60,2022-06-15,19,QC,Enterprise,Referral
61,2020-10-25,37,ON,Individual,Organic
62,2022-12-30,45,QC,Individual,Organic
