customer_id,plan_type,contract_type,price_per_month,status,churn_date
1,Basic,Annual,20,Active,
2,Premium,Annual,70,Active,
3,Premium,Monthly,70,Active,
4,Premium,Monthly,70,Active,
5,Premium,Annual,70,Active,
6,Standard,Annual,40,Active,
7,Standard,Monthly,40,Active,
8,Premium,Monthly,70,Active,
9,Standard,Monthly,40,Active,
10,Premium,Annual,70,Active,
11,Premium,Monthly,70,Active,
12,Standard,Annual,40,Active,
13,Basic,Monthly,20,Active,
14,Premium,Annual,70,Active,
15,Basic,Annual,20,Active,
16,Premium,Monthly,70,Active,
17,Standard,Annual,40,Active,
18,Basic,Monthly,20,Active,
19,Premium,Monthly,70,Active,
20,Basic,Monthly,20,Active,
21,Basic,Annual,20,Active,
22,Basic,Annual,20,Active,
23,Standard,Monthly,40,Active,
24,Premium,Monthly,70,Active,
25,Basic,Monthly,20,Active,
26,Basic,Annual,20,Active,
27,Standard,Monthly,40,Active,
28,Basic,Monthly,20,Active,
29,Standard,Annual,40,Active,
30,Standard,Monthly,40,Active,
31,Premium,Annual,70,Active,
32,Basic,Annual,20,Active,
33,Basic,Monthly,20,Active,
34,Basic,Monthly,20,Active,
35,Standard,Monthly,40,Active,
36,Standard,Monthly,40,Active,
37,Standard,Monthly,40,Active,
38,Basic,Monthly,20,Active,
39,Basic,Annual,20,Active,
40,Basic,Monthly,20,Active,
41,Standard,Monthly,40,Active,
42,Standard,Annual,40,Active,
43,Standard,Annual,40,Active,
44,Basic,Annual,20,Active,
45,Premium,Monthly,70,Active,
46,Standard,Monthly,40,Active,
47,Basic,Annual,20,Active,
48,Standard,Annual,40,Active,
49,Standard,Monthly,40,Active,
50,Basic,Monthly,20,Active,
51,Standard,Annual,40,Active,
52,Basic,Monthly,20,Active,
53,Standard,Monthly,40,Active,
54,Premium,Monthly,70,Active,
55,Standard,Monthly,40,Active,
56,Premium,Monthly,70,Active,
57,Basic,Annual,20,Active,
58,Basic,Annual,20,Active,
59,Premium,Monthly,70,Active,
60,Premium,Annual,70,Active,
61,Premium,Annual,70,Active,
62,Basic,Annual,20,Active,
63,Basic,Annual,20,Active,
64,Premium,Annual,70,Active,
65,Standard,Annual,40,Active,
66,Standard,Monthly,40,Active,
67,Standard,Annual,40,Active,
68,Basic,Monthly,20,Active,
69,Premium,Monthly,70,Active,
70,Standard,Annual,40,Active,
71,Basic,Monthly,20,Active,
72,Standard,Monthly,40,Active,
73,Premium,Annual,70,Active,
74,Basic,Monthly,20,Active,
75,Premium,Annual,70,Active,
76,Premium,Annual,70,Active,
77,Basic,Annual,20,Active,
78,Basic,Monthly,20,Active,
79,Basic,Annual,20,Active,
80,Standard,Monthly,40,Active,
81,Standard,Monthly,40,Active,
82,Standard,Monthly,40,Active,
83,Basic,Annual,20,Active,
84,Premium,Annual,70,Active,
85,Premium,Annual,70,Active,
86,Premium,Annual,70,Active,
87,Premium,Annual,70,Active,
88,Standard,Monthly,40,Active,
89,Standard,Monthly,40,Active,
90,Premium,Monthly,70,Active,
91,Premium,Annual,70,Active,
92,Basic,Monthly,20,Active,
93,Premium,Monthly,70,Active,
94,Basic,Monthly,20,Active,
95,Basic,Annual,20,Active,
96,Standard,Monthly,40,Active,
97,Basic,Monthly,20,Active,
98,Premium,Monthly,70,Active,
99,Standard,Monthly,40,Active,
100,Premium,Monthly,70,Active,
101,Basic,Annual,20,Active,
102,Standard,Monthly,40,Active,
103,Standard,Monthly,40,Active,
104,Premium,Monthly,70,Active,
105,Standard,Annual,40,Active,
106,Premium,Annual,70,Active,
107,Basic,Annual,20,Active,
108,Standard,Monthly,40,Active,
109,Standard,Monthly,40,Active,
110,Premium,Annual,70,Active,
111,Standard,Annual,40,Active,
112,Premium,Monthly,70,Active,
113,Standard,Annual,40,Active,
114,Basic,Monthly,20,Active,
115,Basic,Annual,20,Active,
116,Basic,Annual,20,Active,
117,Basic,Monthly,20,Active,
118,Premium,Monthly,70,Active,
119,Premium,Annual,70,Active,
120,Standard,Monthly,40,Active,
121,Premium,Monthly,70,Active,
122,Standard,Monthly,40,Active,
123,Standard,Annual,40,Active,
124,Standard,Monthly,40,Active,
125,Standard,Monthly,40,Active,
126,Premium,Monthly,70,Active,
127,Premium,Monthly,70,Active,
128,Basic,Annual,20,Active,
129,Premium,Annual,70,Active,
130,Premium,Annual,70,Active,
131,Basic,Annual,20,Active,
132,Standard,Annual,40,Active,
133,Premium,Monthly,70,Active,
134,Standard,Annual,40,Active,
135,Basic,Annual,20,Active,
136,Standard,Annual,40,Active,
137,Standard,Monthly,40,Active,
138,Standard,Annual,40,Active,
139,Premium,Annual,70,Active,
140,Standard,Annual,40,Active,
141,Basic,Annual,20,Active,
142,Standard,Monthly,40,Active,
143,Basic,Annual,20,Active,
144,Standard,Annual,40,Active,
145,Standard,Monthly,40,Active,
146,Standard,Annual,40,Active,
147,Standard,Monthly,40,Active,
148,Standard,Monthly,40,Active,
149,Basic,Monthly,20,Active,
150,Premium,Annual,70,Active,
151,Basic,Monthly,20,Active,
152,Basic,Monthly,20,Active,
153,Basic,Annual,20,Active,
154,Premium,Annual,70,Active,
155,Standard,Annual,40,Active,
156,Basic,Monthly,20,Active,
157,Standard,Annual,40,Active,
158,Standard,Monthly,40,Active,
159,Basic,Monthly,20,Active,
160,Basic,Annual,20,Active,
161,Standard,Annual,40,Active,
162,Basic,Monthly,20,Active,
163,Standard,Monthly,40,Active,
164,Standard,Annual,40,Active,
165,Premium,Annual,70,Active,
166,Premium,Monthly,70,Active,
167,Basic,Monthly,20,Active,
168,Basic,Annual,20,Active,
169,Premium,Monthly,70,Active,
170,Basic,Annual,20,Active,
171,Standard,Annual,40,Active,
172,Standard,Monthly,40,Active,
173,Premium,Monthly,70,Active,
174,Standard,Annual,40,Active,
175,Premium,Monthly,70,Active,
176,Premium,Monthly,70,Active,
177,Premium,Monthly,70,Active,
178,Premium,Annual,70,Active,
179,Standard,Annual,40,Active,
180,Basic,Annual,20,Active,
181,Basic,Annual,20,Active,
182,Standard,Monthly,40,Active,
183,Standard,Monthly,40,Active,
184,Basic,Monthly,20,Active,
185,Standard,Monthly,40,Active,
186,Premium,Monthly,70,Active,
187,Premium,Monthly,70,Active,
188,Basic,Monthly,20,Active,
189,Premium,Monthly,70,Active,
190,Standard,Monthly,40,Active,
191,Standard,Monthly,40,Active,
192,Premium,Annual,70,Active,
193,Premium,Monthly,70,Active,
194,Basic,Annual,20,Active,
195,Premium,Annual,70,Active,
196,Basic,Annual,20,Active,
197,Premium,Annual,70,Active,
198,Standard,Annual,40,Active,
199,Standard,Annual,40,Active,
200,Basic,Annual,20,Active,
201,Premium,Monthly,70,Active,
202,Standard,Monthly,40,Active,
203,Premium,Annual,70,Active,
204,Basic,Monthly,20,Active,
205,Standard,Monthly,40,Active,
206,Standard,Annual,40,Active,
207,Premium,Annual,70,Active,
208,Basic,Monthly,20,Active,
209,Basic,Monthly,20,Active,
210,Basic,Monthly,20,Active,
211,Basic,Monthly,20,Active,
212,Standard,Monthly,40,Active,
213,Standard,Annual,40,Active,
214,Premium,Annual,70,Active,
215,Standard,Monthly,40,Active,
216,Basic,Annual,20,Active,
217,Basic,Annual,20,Active,
